,PassengerId,Survived,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1.0,Pclass_2.0,Pclass_3.0
1,1.0,0.0,22.0,1.0,0.0,0.0141510575622,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2,2.0,1.0,38.0,1.0,0.0,0.139135735383,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3,3.0,1.0,26.0,0.0,0.0,0.015468569818,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,4.0,1.0,35.0,1.0,0.0,0.103644297456,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,5.0,0.0,35.0,0.0,0.0,0.0157125535691,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,6.0,0.0,31.0,0.0,0.0,0.0165095020936,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,7.0,0.0,54.0,0.0,0.0,0.10122885832,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
8,8.0,0.0,2.0,3.0,1.0,0.0411356604308,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
9,9.0,1.0,27.0,0.0,2.0,0.0217307543665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,10.0,1.0,14.0,1.0,0.0,0.058694292654,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
11,11.0,1.0,4.0,1.0,1.0,0.0325962291433,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,12.0,1.0,58.0,0.0,0.0,0.0518221487278,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,13.0,0.0,20.0,0.0,0.0,0.0157125535691,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14,14.0,0.0,39.0,1.0,5.0,0.0610447345184,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
15,15.0,0.0,14.0,0.0,0.0,0.0153303774214,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,16.0,1.0,55.0,0.0,0.0,0.0312299201373,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17,17.0,0.0,2.0,4.0,1.0,0.0568482139999,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
18,18.0,1.0,31.0,0.0,0.0,0.0253743101115,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
19,19.0,0.0,31.0,1.0,0.0,0.0351336601544,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,20.0,1.0,35.0,0.0,0.0,0.014102260812,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21,21.0,0.0,35.0,0.0,0.0,0.0507486202231,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
22,22.0,1.0,34.0,0.0,0.0,0.0253743101115,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
23,23.0,1.0,15.0,0.0,0.0,0.0156719546729,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
24,24.0,1.0,28.0,0.0,0.0,0.0692913853046,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
25,25.0,0.0,8.0,3.0,1.0,0.0411356604308,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
26,26.0,1.0,38.0,1.0,5.0,0.0612643198943,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27,27.0,0.0,31.0,0.0,0.0,0.014102260812,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
28,28.0,0.0,19.0,3.0,2.0,0.513341812257,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
29,29.0,1.0,21.0,0.0,0.0,0.0153791741716,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30,30.0,0.0,31.0,0.0,0.0,0.0154115752137,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
31,31.0,0.0,40.0,0.0,0.0,0.0541073981339,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
32,32.0,1.0,35.0,1.0,0.0,0.285989555153,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
33,33.0,1.0,21.0,0.0,0.0,0.0151269925665,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34,34.0,0.0,66.0,0.0,0.0,0.0204946350901,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
35,35.0,0.0,28.0,1.0,0.0,0.160386720101,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
36,36.0,0.0,42.0,1.0,0.0,0.101497240446,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
37,37.0,1.0,31.0,0.0,0.0,0.014110458666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
38,38.0,0.0,21.0,0.0,0.0,0.0157125535691,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
39,39.0,0.0,18.0,2.0,0.0,0.0351336601544,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40,40.0,1.0,14.0,1.0,0.0,0.0219423370755,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,41.0,0.0,40.0,1.0,0.0,0.0184939683313,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,42.0,0.0,27.0,1.0,0.0,0.0409892701802,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
